filename	comments	StepSize	DelayTime	volts	CV-tron	IonGauge	Temperature	NEON HV	PMT HV	c0	dc0	c1	dc1	s1	ds1	c2	dc2	s2	ds2	c4	dc4	s4	ds4	mag2	angle2	mag4	angle4	SSres	 R ²
/home/pi/Data/2018-04-29/POL2018-04-29_162428.dat	vac/atmo	1	30	3.990000	1.68E-01	3.82E-03	33.799999	1798.210844	-1005.358450	0.697550	0.002450	0.000201	0.002121	0.000195	0.000140	-0.002381	0.000219	-0.052183	0.000174	0.294232	0.000196	-0.047421	0.000199	0.052237	-1.616401	0.298029	-0.159796	0.003792	0.999793
/home/pi/Data/2018-04-29/POL2018-04-29_162548.dat	vac/atmo	1	30	1.000000	9.00E+02	3.82E-03	33.799999	-0.763312	-1005.205788	0.003558	-0.000027	0.000030	-0.000012	0.000029	0.000021	0.000049	0.000029	-0.000061	0.000030	0.000047	0.000029	-0.000016	0.000030	0.000078	-0.894355	0.000050	-0.329543	0.000069	0.026718
/home/pi/Data/2018-04-29/POL2018-04-29_162656.dat	vac/atmo	1	30	3.990000	8.83E+02	3.82E-03	33.799999	1797.752857	-1005.587444	0.688609	-0.000251	0.000196	-0.002054	0.000195	0.000138	-0.004043	0.000215	-0.054648	0.000173	0.289991	0.000196	-0.049415	0.000194	0.054797	-1.644653	0.294171	-0.168782	0.014883	0.999170
/home/pi/Data/2018-04-29/POL2018-04-29_162803.dat	vac/atmo	1	30	3.990000	9.00E+02	3.82E-03	33.799999	1798.516169	-1004.976794	0.696257	0.002870	0.000196	0.002366	0.000199	0.000140	-0.003057	0.000216	-0.052701	0.000177	0.294379	0.000195	-0.047316	0.000199	0.052790	-1.628732	0.298157	-0.159367	0.003788	0.999793
/home/pi/Data/2018-04-29/POL2018-04-29_162909.dat	vac/atmo	1	30	3.990000	9.00E+02	3.82E-03	33.799999	1805.309646	-1006.274424	0.697452	0.003125	0.000193	0.002597	0.000197	0.000138	-0.002630	0.000215	-0.052600	0.000173	0.294206	0.000196	-0.047455	0.000195	0.052665	-1.620761	0.298009	-0.159920	0.003816	0.999792
/home/pi/Data/2018-04-29/POL2018-04-29_163016.dat	vac/atmo	1	30	3.990000	8.83E+02	3.82E-03	33.799999	1801.035099	-1005.282119	0.697826	0.002804	0.000197	0.002362	0.000192	0.000138	-0.002724	0.000215	-0.052393	0.000173	0.294615	0.000194	-0.047332	0.000195	0.052464	-1.622747	0.298393	-0.159297	0.004293	0.999766
/home/pi/Data/2018-04-29/POL2018-04-29_163122.dat	vac/atmo	1	30	3.990000	9.00E+02	3.82E-03	33.799999	1800.958768	-1006.045431	0.698086	0.002588	0.000199	0.002638	0.000199	0.000141	-0.002574	0.000221	-0.051953	0.000175	0.294898	0.000201	-0.047628	0.000197	0.052017	-1.620291	0.298719	-0.160125	0.003981	0.999784
/home/pi/Data/2018-04-29/POL2018-04-29_163241.dat	vac/atmo	1	30	1.000000	1.49E+00	3.82E-03	33.799999	0.305325	-1005.587444	0.003626	0.000071	0.000030	-0.000316	0.000030	0.000021	-0.000048	0.000030	-0.000097	0.000030	0.000044	0.000030	-0.000009	0.000030	0.000109	-2.031593	0.000045	-0.195182	0.000095	0.199580
/home/pi/Data/2018-04-29/POL2018-04-29_163401.dat	vac/atmo	1	30	3.990000	2.92E-01	3.82E-03	33.700001	1686.385609	-1005.969100	0.691900	0.002060	0.000193	-0.000285	0.000196	0.000138	-0.003490	0.000215	-0.053216	0.000172	0.291755	0.000194	-0.048754	0.000196	0.053331	-1.636293	0.295801	-0.165576	0.005689	0.999685
/home/pi/Data/2018-04-29/POL2018-04-29_163521.dat	vac/atmo	1	30	3.990000	2.37E-01	3.82E-03	33.700001	1800.577112	-1005.740106	0.696758	0.003195	0.000197	0.002274	0.000192	0.000138	-0.002654	0.000214	-0.052028	0.000173	0.293721	0.000198	-0.047591	0.000192	0.052096	-1.621770	0.297551	-0.160633	0.003608	0.999802
/home/pi/Data/2018-04-29/POL2018-04-29_163637.dat	vac/atmo	1	30	3.990000	2.03E-01	3.82E-03	33.700001	1800.653443	-1005.969100	0.697634	0.002894	0.000199	0.002504	0.000197	0.000140	-0.002522	0.000220	-0.052253	0.000173	0.294849	0.000200	-0.047610	0.000196	0.052314	-1.619024	0.298668	-0.160090	0.003992	0.999783
/home/pi/Data/2018-04-29/POL2018-04-29_163754.dat	vac/atmo	1	30	3.990000	1.85E-01	3.82E-03	33.700001	1800.729774	-1005.740106	0.697843	0.002908	0.000195	0.003152	0.000194	0.000138	-0.001919	0.000215	-0.051973	0.000172	0.294372	0.000196	-0.047903	0.000194	0.052008	-1.607701	0.298244	-0.161316	0.003474	0.999811
/home/pi/Data/2018-04-29/POL2018-04-29_163911.dat	vac/atmo	1	30	3.990000	1.65E-01	3.82E-03	33.700001	1802.256398	-1005.892769	0.697348	0.003346	0.000196	0.002913	0.000197	0.000139	-0.002871	0.000218	-0.052012	0.000173	0.294795	0.000198	-0.047729	0.000195	0.052091	-1.625933	0.298634	-0.160513	0.003985	0.999783
